id	daddy	nivel	name	arco
r0	TIGIE	2	TIGIE	M3.3065463576978537e-15,-54A54,54,0,1,1,-3.3065463576978537e-15,54A54,54,0,1,1,3.3065463576978537e-15,-54Z
P11313	1	2	01:N/A	M6.6130927153957075e-15,-108A108,108,0,0,1,1.381758818204762,-107.99116048347807L0.690879409102381,-53.995580241739034A54,54,0,0,0,3.3065463576978537e-15,-54Z
P11314	1	2	01:N/A	M1.381758818204762,-107.99116048347807A108,108,0,0,1,2.7632914497446732,-107.96464338089469L1.3816457248723366,-53.98232169044734A54,54,0,0,0,0.690879409102381,-53.995580241739034Z
P11315	1	2	01:N/A	M2.7632914497446732,-107.96464338089469A108,108,0,0,1,3.656997466487827,-107.93806728643098L1.8284987332439135,-53.96903364321549A54,54,0,0,0,1.3816457248723366,-53.98232169044734Z
P11316	1	2	01:N/A	M3.656997466487827,-107.93806728643098A108,108,0,0,1,4.306811548745882,-107.91409256572372L2.153405774372941,-53.95704628286186A54,54,0,0,0,1.8284987332439135,-53.96903364321549Z
P11317	1	2	01:N/A	M4.306811548745882,-107.91409256572372A108,108,0,0,1,5.849451007551812,-107.84147589360158L2.924725503775906,-53.92073794680079A54,54,0,0,0,2.153405774372941,-53.95704628286186Z
P11318	1	2	01:N/A	M5.849451007551812,-107.84147589360158A108,108,0,0,1,9.173814837122483,-107.60967020363083L4.586907418561242,-53.804835101815414A54,54,0,0,0,2.924725503775906,-53.92073794680079Z
P11319	1	2	02:Carne y despojos comestible	M9.173814837122483,-107.60967020363083A108,108,0,0,1,9.659649938695296,-107.5671472293556L4.829824969347648,-53.7835736146778A54,54,0,0,0,4.586907418561242,-53.804835101815414Z
P11320	1	2	02:Carne y despojos comestible	M9.659649938695296,-107.5671472293556A108,108,0,0,1,10.145288067592364,-107.52243082271517L5.072644033796182,-53.76121541135758A54,54,0,0,0,4.829824969347648,-53.7835736146778Z
P11321	1	2	02:Carne y despojos comestible	M10.145288067592364,-107.52243082271517A108,108,0,0,1,11.115933800435574,-107.42642140434695L5.557966900217787,-53.71321070217348A54,54,0,0,0,5.072644033796182,-53.76121541135758Z
P11322	1	2	02:Carne y despojos comestible	M11.115933800435574,-107.42642140434695A108,108,0,0,1,12.570177676331836,-107.2659807822846L6.285088838165918,-53.6329903911423A54,54,0,0,0,5.557966900217787,-53.71321070217348Z
P11323	1	2	0:N/A	M12.570177676331836,-107.2659807822846A108,108,0,0,1,12.731622807317462,-107.24693832782451L6.365811403658731,-53.623469163912254A54,54,0,0,0,6.285088838165918,-53.6329903911423Z
P11324	1	2	02:Carne y despojos comestible	M12.731622807317462,-107.24693832782451A108,108,0,0,1,14.344427262091145,-107.04315674774627L7.172213631045572,-53.52157837387313A54,54,0,0,0,6.365811403658731,-53.623469163912254Z
