id,name,fake,nivel,path
P11313,01:Animales vivos,01,2,01:Animales vivos
P8339,"0101:Caballos, asnos, mulos y burdeganos, vivos",01,3,"01:Animales vivos > 0101:Caballos, asnos, mulos y burdeganos, vivos"
SP3,010110:Reproductores de raza pura,0101,4,"01:Animales vivos > 0101:Caballos, asnos, mulos y burdeganos, vivos > 010110:Reproductores de raza pura"
F1,01011001 : SUPRIMIDA,01011001,5,"01:Animales vivos > 0101:Caballos, asnos, mulos y burdeganos, vivos > 010110:Reproductores de raza pura > 01011001 : SUPRIMIDA"
F2,01011099 : SUPRIMIDA,01011099,5,"01:Animales vivos > 0101:Caballos, asnos, mulos y burdeganos, vivos > 010110:Reproductores de raza pura > 01011099 : SUPRIMIDA"
P8340,"0101:Caballos, asnos, mulos y burdeganos, vivos",01,3,"01:Animales vivos > 0101:Caballos, asnos, mulos y burdeganos, vivos"
SP5,010121:Reproductores de raza pura,0101,4,"01:Animales vivos > 0101:Caballos, asnos, mulos y burdeganos, vivos > 010121:Reproductores de raza pura"
F4,01012101 : Reproductores de raza pura.,01012101,5,"01:Animales vivos > 0101:Caballos, asnos, mulos y burdeganos, vivos > 010121:Reproductores de raza pura > 01012101 : Reproductores de raza pura."
P8341,"0101:Caballos, asnos, mulos y burdeganos, vivos",01,3,"01:Animales vivos > 0101:Caballos, asnos, mulos y burdeganos, vivos"
SP10,010129:Los demas,0101,4,"01:Animales vivos > 0101:Caballos, asnos, mulos y burdeganos, vivos > 010129:Los demas"
F6,01012901 : Para saltos o carreras.,01012901,5,"01:Animales vivos > 0101:Caballos, asnos, mulos y burdeganos, vivos > 010129:Los demas > 01012901 : Para saltos o carreras."
F7,01012902 : Sin pedigree  para reproducción.,01012902,5,"01:Animales vivos > 0101:Caballos, asnos, mulos y burdeganos, vivos > 010129:Los demas > 01012902 : Sin pedigree  para reproducción."
F8,01012903 : Para abasto  cuando la importación la realicen empacadoras Tipo Inspección Federal.,01012903,5,"01:Animales vivos > 0101:Caballos, asnos, mulos y burdeganos, vivos > 010129:Los demas > 01012903 : Para abasto  cuando la importación la realicen empacadoras Tipo Inspección Federal."
F9,01012999 : Los demás.,01012999,5,"01:Animales vivos > 0101:Caballos, asnos, mulos y burdeganos, vivos > 010129:Los demas > 01012999 : Los demás."
P8342,"0101:Caballos, asnos, mulos y burdeganos, vivos",01,3,"01:Animales vivos > 0101:Caballos, asnos, mulos y burdeganos, vivos"
SP12,010130:asnos,0101,4,"01:Animales vivos > 0101:Caballos, asnos, mulos y burdeganos, vivos > 010130:asnos"
F11,01013001 : Asnos.,01013001,5,"01:Animales vivos > 0101:Caballos, asnos, mulos y burdeganos, vivos > 010130:asnos > 01013001 : Asnos."
P8343,"0101:Caballos, asnos, mulos y burdeganos, vivos",01,3,"01:Animales vivos > 0101:Caballos, asnos, mulos y burdeganos, vivos"
SP17,010190:Los demas,0101,4,"01:Animales vivos > 0101:Caballos, asnos, mulos y burdeganos, vivos > 010190:Los demas"
F13,01019001 : SUPRIMIDA,01019001,5,"01:Animales vivos > 0101:Caballos, asnos, mulos y burdeganos, vivos > 010190:Los demas > 01019001 : SUPRIMIDA"
F14,01019002 : SUPRIMIDA,01019002,5,"01:Animales vivos > 0101:Caballos, asnos, mulos y burdeganos, vivos > 010190:Los demas > 01019002 : SUPRIMIDA"
F15,01019003 : SUPRIMIDA,01019003,5,"01:Animales vivos > 0101:Caballos, asnos, mulos y burdeganos, vivos > 010190:Los demas > 01019003 : SUPRIMIDA"
F16,01019099 : Los demás.,01019099,5,"01:Animales vivos > 0101:Caballos, asnos, mulos y burdeganos, vivos > 010190:Los demas > 01019099 : Los demás."
P11314,01:Animales vivos,01,2,01:Animales vivos
P8344,0102:Animales vivos de la especie bovina,01,3,01:Animales vivos > 0102:Animales vivos de la especie bovina
SP19,010210:Reproductores de raza pura,0102,4,01:Animales vivos > 0102:Animales vivos de la especie bovina > 010210:Reproductores de raza pura
F18,01021001 : SUPRIMIDA,01021001,5,01:Animales vivos > 0102:Animales vivos de la especie bovina > 010210:Reproductores de raza pura > 01021001 : SUPRIMIDA
P8345,0102:Animales vivos de la especie bovina,01,3,01:Animales vivos > 0102:Animales vivos de la especie bovina
SP21,010221:Reproductores de raza pura,0102,4,01:Animales vivos > 0102:Animales vivos de la especie bovina > 010221:Reproductores de raza pura
F20,01022101 : Reproductores de raza pura.,01022101,5,01:Animales vivos > 0102:Animales vivos de la especie bovina > 010221:Reproductores de raza pura > 01022101 : Reproductores de raza pura.
P8346,0102:Animales vivos de la especie bovina,01,3,01:Animales vivos > 0102:Animales vivos de la especie bovina
SP25,010229:Los demas,0102,4,01:Animales vivos > 0102:Animales vivos de la especie bovina > 010229:Los demas
F22,01022901 : Vacas lecheras.,01022901,5,01:Animales vivos > 0102:Animales vivos de la especie bovina > 010229:Los demas > 01022901 : Vacas lecheras.
F23,01022902 : Con pedigree o certificado de alto registro  excepto lo comprendido en la fracción 0102.29.01.,01022902,5,01:Animales vivos > 0102:Animales vivos de la especie bovina > 010229:Los demas > 01022902 : Con pedigree o certificado de alto registro  excepto lo comprendido en la fracción 0102.29.01.
F24,01022999 : Los demás.,01022999,5,01:Animales vivos > 0102:Animales vivos de la especie bovina > 010229:Los demas > 01022999 : Los demás.
P8347,0102:Animales vivos de la especie bovina,01,3,01:Animales vivos > 0102:Animales vivos de la especie bovina
SP27,010231:Reproductores de raza pura,0102,4,01:Animales vivos > 0102:Animales vivos de la especie bovina > 010231:Reproductores de raza pura
F26,01023101 : Reproductores de raza pura.,01023101,5,01:Animales vivos > 0102:Animales vivos de la especie bovina > 010231:Reproductores de raza pura > 01023101 : Reproductores de raza pura.
P8348,0102:Animales vivos de la especie bovina,01,3,01:Animales vivos > 0102:Animales vivos de la especie bovina
SP29,010239:Los demas,0102,4,01:Animales vivos > 0102:Animales vivos de la especie bovina > 010239:Los demas
F28,01023999 : Los demás.,01023999,5,01:Animales vivos > 0102:Animales vivos de la especie bovina > 010239:Los demas > 01023999 : Los demás.
P8349,0102:Animales vivos de la especie bovina,01,3,01:Animales vivos > 0102:Animales vivos de la especie bovina
SP34,010290:Los demas,0102,4,01:Animales vivos > 0102:Animales vivos de la especie bovina > 010290:Los demas
F30,01029001 : SUPRIMIDA,01029001,5,01:Animales vivos > 0102:Animales vivos de la especie bovina > 010290:Los demas > 01029001 : SUPRIMIDA
F31,01029002 : SUPRIMIDA,01029002,5,01:Animales vivos > 0102:Animales vivos de la especie bovina > 010290:Los demas > 01029002 : SUPRIMIDA
F32,01029003 : SUPRIMIDA,01029003,5,01:Animales vivos > 0102:Animales vivos de la especie bovina > 010290:Los demas > 01029003 : SUPRIMIDA
F33,01029099 : Los demás.,01029099,5,01:Animales vivos > 0102:Animales vivos de la especie bovina > 010290:Los demas > 01029099 : Los demás.
P11315,01:Animales vivos,01,2,01:Animales vivos
P8350,0103:Animales vivos de la especie porcina,01,3,01:Animales vivos > 0103:Animales vivos de la especie porcina
SP36,010310:Reproductores de raza pura,0103,4,01:Animales vivos > 0103:Animales vivos de la especie porcina > 010310:Reproductores de raza pura
F35,01031001 : Reproductores de raza pura.,01031001,5,01:Animales vivos > 0103:Animales vivos de la especie porcina > 010310:Reproductores de raza pura > 01031001 : Reproductores de raza pura.
P8351,0103:Animales vivos de la especie porcina,01,3,01:Animales vivos > 0103:Animales vivos de la especie porcina
SP40,010391:De peso inferior a 50 kg,0103,4,01:Animales vivos > 0103:Animales vivos de la especie porcina > 010391:De peso inferior a 50 kg
F37,01039101 : Con pedigree o certificado de alto registro.,01039101,5,01:Animales vivos > 0103:Animales vivos de la especie porcina > 010391:De peso inferior a 50 kg > 01039101 : Con pedigree o certificado de alto registro.
F38,01039102 : Pecarís.,01039102,5,01:Animales vivos > 0103:Animales vivos de la especie porcina > 010391:De peso inferior a 50 kg > 01039102 : Pecarís.
F39,01039199 : Los demás.,01039199,5,01:Animales vivos > 0103:Animales vivos de la especie porcina > 010391:De peso inferior a 50 kg > 01039199 : Los demás.
P8352,0103:Animales vivos de la especie porcina,01,3,01:Animales vivos > 0103:Animales vivos de la especie porcina
SP45,010392:De peso superior o igual a 50 kg,0103,4,01:Animales vivos > 0103:Animales vivos de la especie porcina > 010392:De peso superior o igual a 50 kg
F41,01039201 : Con pedigree o certificado de alto registro.,01039201,5,01:Animales vivos > 0103:Animales vivos de la especie porcina > 010392:De peso superior o igual a 50 kg > 01039201 : Con pedigree o certificado de alto registro.
F42,01039202 : De peso superior a 110 kg  excepto lo comprendido en las fracciones 0103.92.01 y 0103.92.03.,01039202,5,01:Animales vivos > 0103:Animales vivos de la especie porcina > 010392:De peso superior o igual a 50 kg > 01039202 : De peso superior a 110 kg  excepto lo comprendido en las fracciones 0103.92.01 y 0103.92.03.
F43,01039203 : Pecarís.,01039203,5,01:Animales vivos > 0103:Animales vivos de la especie porcina > 010392:De peso superior o igual a 50 kg > 01039203 : Pecarís.
F44,01039299 : Los demás.,01039299,5,01:Animales vivos > 0103:Animales vivos de la especie porcina > 010392:De peso superior o igual a 50 kg > 01039299 : Los demás.
P11316,01:Animales vivos,01,2,01:Animales vivos
P8353,0104:Animales vivos de las especies ovina o caprina,01,3,01:Animales vivos > 0104:Animales vivos de las especies ovina o caprina
SP49,010410:De la especie ovina,0104,4,01:Animales vivos > 0104:Animales vivos de las especies ovina o caprina > 010410:De la especie ovina
F46,01041001 : Con pedigree o certificado de alto registro.,01041001,5,01:Animales vivos > 0104:Animales vivos de las especies ovina o caprina > 010410:De la especie ovina > 01041001 : Con pedigree o certificado de alto registro.
F47,01041002 : Para abasto.,01041002,5,01:Animales vivos > 0104:Animales vivos de las especies ovina o caprina > 010410:De la especie ovina > 01041002 : Para abasto.
F48,01041099 : Los demás.,01041099,5,01:Animales vivos > 0104:Animales vivos de las especies ovina o caprina > 010410:De la especie ovina > 01041099 : Los demás.
P8354,0104:Animales vivos de las especies ovina o caprina,01,3,01:Animales vivos > 0104:Animales vivos de las especies ovina o caprina
SP53,010420:De la especie caprina,0104,4,01:Animales vivos > 0104:Animales vivos de las especies ovina o caprina > 010420:De la especie caprina
F50,01042001 : Con pedigree o certificado de alto registro.,01042001,5,01:Animales vivos > 0104:Animales vivos de las especies ovina o caprina > 010420:De la especie caprina > 01042001 : Con pedigree o certificado de alto registro.
F51,01042002 : Borrego cimarrón.,01042002,5,01:Animales vivos > 0104:Animales vivos de las especies ovina o caprina > 010420:De la especie caprina > 01042002 : Borrego cimarrón.
F52,01042099 : Los demás.,01042099,5,01:Animales vivos > 0104:Animales vivos de las especies ovina o caprina > 010420:De la especie caprina > 01042099 : Los demás.
P11317,01:Animales vivos,01,2,01:Animales vivos
